"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"1012",1012,"ricky ponting",48,43,3,909,"98",22.73,819,110.99,0,5,3,5,75,25,8.19,10.92,"32.76",49.51,33,16.5,12.21,4.5,0.64,21.14,19.05,133.71,2.84,4e+05
"1016",1016,"rahul singh",43,40,4,906,"76",25.17,637,142.23,0,5,7,2,95,33,4.98,6.71,"19.3",63.8,41.94,21.85,20.09,4.52,0.64,22.65,15.93,167.4,3.18,25000
"1017",1016,"raymon reifer",72,60,14,906,"65",19.7,823,110.09,0,3,7,4,56,40,8.57,14.7,"20.58",51.21,24.72,26.49,11.66,4.83,0.61,15.1,13.72,129.78,5.87,62500
"1022",1022,"mohnish mishra",48,47,3,899,"84",20.43,675,133.19,0,3,8,4,115,26,4.79,5.87,"25.96",68.52,51.17,17.35,20.89,4.37,0.53,19.13,14.36,153.62,2.23,12500
"1024",1023,"dilruwan perera",97,75,10,897,"62",13.8,813,110.33,0,1,6,7,88,26,7.13,9.24,"31.27",56.63,39.24,17.39,14.02,4.46,0.56,11.96,10.84,124.13,4.47,62500
"1025",1025,"lalit yadav",66,49,20,895,"52*",30.86,643,139.19,0,1,9,2,86,34,5.36,7.48,"18.91",61.23,38.44,22.79,18.66,4.57,0.66,18.27,13.12,170.05,5.84,81250
"1026",1026,"ankush bains",53,49,4,894,"68",19.87,823,108.63,0,6,4,3,103,17,6.86,7.99,"48.41",57.49,46.09,11.41,14.58,4.28,0.54,18.24,16.8,128.49,2.12,25000
"1027",1026,"chris woakes",132,78,41,894,"57",24.16,655,136.49,0,2,3,5,74,31,6.24,8.85,"21.13",53.92,33.11,20.81,16.03,4.59,0.75,11.46,8.4,160.65,7.22,187500
"1030",1029,"bavanaka sandeep",47,43,8,892,"74*",25.49,721,123.72,0,2,10,2,59,30,8.1,12.22,"24.03",46.64,26.46,20.18,12.34,4.67,0.75,20.74,16.77,149.2,4.95,25000
"1042",1042,"kennar lewis",49,47,0,877,"89",18.66,701,125.11,0,4,6,4,65,60,5.61,10.78,"11.68",70.7,29.65,41.05,17.83,4.96,0.45,18.66,14.91,143.77,1.68,50000
"1043",1042,"john hastings",106,74,22,877,"80",16.87,568,154.4,0,3,5,10,62,52,4.98,9.16,"10.92",63.85,28.28,35.58,20.07,4.91,0.7,11.85,7.68,171.27,7.31,162500
"1044",1042,"prerak mankad",42,37,8,877,"72",30.24,615,142.6,0,7,4,2,83,32,5.35,7.41,"19.22",59.75,37.86,21.89,18.7,4.56,0.71,23.7,16.62,172.84,5.16,25000
"1052",1051,"shivam chauhan",33,33,4,864,"59",29.79,707,122.21,0,3,11,0,92,15,6.61,7.68,"47.13",53.01,42.59,10.42,15.13,4.28,0.68,26.18,21.42,152,4,25000
"1054",1053,"kamran khan",38,36,1,863,"88",24.66,633,136.33,0,5,7,2,70,55,5.06,9.04,"11.51",70.68,32.45,38.24,19.75,4.88,0.5,23.97,17.58,160.99,2.31,12500
"1062",1062,"nitin saini",57,51,5,858,"74",18.65,843,101.78,0,3,7,1,81,7,9.58,10.41,"120.43",42.66,37.76,4.9,10.44,4.16,0.65,16.82,16.53,120.43,3.02,25000
"1065",1065,"curtis campher",56,50,12,854,"72",22.47,625,136.64,0,3,3,4,66,31,6.44,9.47,"20.16",52.69,30.91,21.78,15.52,4.64,0.77,17.08,12.5,159.11,5.34,62500
"1077",1077,"tim southee",242,112,38,841,"74",11.36,594,141.58,0,2,4,22,63,46,5.45,9.43,"12.91",62.78,29.96,32.82,18.35,4.84,0.65,7.51,5.3,152.95,8.22,187500
"1078",1078,"sam heazlett",50,50,3,840,"74",17.87,678,123.89,0,2,8,5,68,33,6.71,9.97,"20.55",55.95,32.38,23.57,14.9,4.65,0.64,16.8,13.56,141.77,3.22,37500
"1079",1078,"parvez rasool",71,55,11,840,"59",19.09,795,105.66,0,2,9,4,68,22,8.83,11.69,"36.14",48.1,32.38,15.71,11.32,4.49,0.62,15.27,14.45,124.75,5.22,62500
"1081",1080,"scott kuggeleijn",144,88,40,839,"41",17.48,639,131.3,0,0,4,4,48,38,7.43,13.31,"16.82",50.06,22.88,27.18,13.46,4.88,0.76,9.53,7.26,148.78,7.43,62500
"1083",1083,"vinay kumar",176,89,34,837,"68",15.22,663,126.24,0,1,4,6,56,36,7.21,11.84,"18.42",52.57,26.76,25.81,13.88,4.78,0.7,9.4,7.45,141.46,7.9,125000
"1100",1098,"liam plunkett",157,93,36,825,"41",14.47,630,130.95,0,0,5,7,57,27,7.5,11.05,"23.33",47.27,27.64,19.64,13.33,4.64,0.8,8.87,6.77,145.43,7.87,250000
"1111",1110,"subhranshu senapati",32,30,3,817,"67",30.26,682,119.79,0,4,10,1,61,33,7.26,11.18,"20.67",54.1,29.87,24.24,13.78,4.7,0.64,27.23,22.73,150.05,3.33,25000
"1114",1114,"ravi chauhan",30,30,3,815,"86",30.19,710,114.79,0,8,2,2,91,12,6.89,7.8,"59.17",53.5,44.66,8.83,14.51,4.23,0.62,27.17,23.67,144.97,1.8,25000
"1126",1126,"kumar deobrat",66,54,9,796,"69",17.69,706,112.75,0,3,5,6,64,35,7.13,11.03,"20.17",58.54,32.16,26.38,14.02,4.71,0.54,14.74,13.07,130.44,4.67,25000
"1131",1131,"hardus viljoen",145,87,35,793,"41*",15.25,614,129.15,0,0,7,8,55,36,6.75,11.16,"17.06",54.98,27.74,27.24,14.82,4.79,0.68,9.11,7.06,144.4,7.82,93750
"1132",1132,"shubham khajuria",34,34,4,792,"85*",26.4,662,119.64,0,4,9,4,80,32,5.91,8.28,"20.69",64.65,40.4,24.24,16.92,4.57,0.51,23.29,19.47,146.04,1.53,25000
"1139",1138,"shahrukh khan",70,58,16,787,"47*",18.74,601,130.95,0,0,3,4,50,50,6.01,12.02,"12.02",63.53,25.41,38.12,16.64,5,0.57,13.57,10.36,149.69,5.69,1125000
"1140",1140,"samarth singh",31,30,1,786,"93",27.1,697,112.77,0,5,3,1,75,24,7.04,9.29,"29.04",56.49,38.17,18.32,14.2,4.48,0.57,26.2,23.23,139.87,1.97,12500
"1144",1143,"pawan negi",114,79,31,785,"41",16.35,633,124.01,0,0,5,7,56,33,7.11,11.3,"19.18",53.76,28.54,25.22,14.06,4.74,0.67,9.94,8.01,140.37,6.85,62500
"1149",1148,"amit mishra",245,102,44,781,"49",13.47,797,97.99,0,0,4,17,75,7,9.72,10.63,"113.86",43.79,38.41,5.38,10.29,4.17,0.61,7.66,7.81,111.46,7.7,62500
"1150",1148,"adil rashid",256,110,43,781,"36",11.66,735,106.26,0,0,3,7,58,13,10.35,12.67,"56.54",39.69,29.71,9.99,9.66,4.37,0.71,7.1,6.68,117.92,7.97,250000
"1155",1155,"paul valthaty",34,34,1,778,"120",23.58,615,126.5,1,3,5,1,106,24,4.73,5.8,"25.63",73.01,54.5,18.51,21.14,4.37,0.43,22.88,18.09,150.08,1.68,25000
"1156",1155,"smit patel",33,30,3,778,"73",28.81,711,109.42,0,5,6,4,78,17,7.48,9.12,"41.82",53.21,40.1,13.11,13.36,4.36,0.59,25.93,23.7,138.24,2.37,25000
"1169",1169,"anmolpreet singh",50,37,2,770,"84",22,674,114.24,0,5,4,0,66,20,7.84,10.21,"33.7",49.87,34.29,15.58,12.76,4.47,0.66,20.81,18.22,136.24,3.84,25000
"1173",1173,"manisankar murasingh",60,54,11,767,"61*",17.84,573,133.86,0,2,5,6,52,39,6.3,11.02,"14.69",57.63,27.12,30.51,15.88,4.86,0.67,14.2,10.61,151.69,5.89,12500
"1177",1177,"chamika karunaratne",95,75,36,761,"75",19.51,644,118.17,0,1,4,9,53,29,7.85,12.15,"22.21",50.72,27.86,22.86,12.73,4.71,0.67,10.15,8.59,137.68,7.25,62500
"1178",1177,"ramesh mendis",60,47,12,761,"72*",21.74,600,126.83,0,2,7,4,46,27,8.22,13.04,"22.22",45.47,24.18,21.29,12.17,4.74,0.79,16.19,12.77,148.58,6.23,37500
"1180",1177,"ganesh satish",52,45,2,761,"54*",17.7,763,99.74,0,2,8,1,63,11,10.31,12.11,"69.36",41.79,33.11,8.67,9.7,4.3,0.64,16.91,16.96,117.44,3.49,25000
"1186",1186,"jacques snyman",39,38,1,755,"117",20.41,540,139.81,1,2,5,3,79,30,4.95,6.84,"18",65.7,41.85,23.84,20.19,4.55,0.6,19.87,14.21,160.22,2.74,62500
"1188",1186,"keemo paul",101,69,23,755,"56",16.41,611,123.57,0,1,3,10,39,49,6.94,15.67,"12.47",59.6,20.66,38.94,14.4,5.11,0.58,10.94,8.86,139.98,7.12,62500
"1191",1190,"kevon cooper",165,100,41,753,"42",12.76,542,138.93,0,0,3,14,52,42,5.77,10.42,"12.9",61.09,27.62,33.47,17.34,4.89,0.65,7.53,5.42,151.69,7.5,37500
"1199",1199,"amit verma",52,42,8,747,"109",21.97,645,115.81,1,2,3,5,49,35,7.68,13.16,"18.43",54.35,26.24,28.11,13.02,4.83,0.61,17.79,15.36,137.78,4.62,25000
"1200",1200,"atharva taide",32,32,3,745,"56",25.69,576,129.34,0,1,12,1,87,22,5.28,6.62,"26.18",64.43,46.71,17.72,18.92,4.4,0.57,23.28,18,155.03,1.22,25000
"1203",1203,"mohammed azharuddeen",39,36,3,741,"137",22.45,552,134.24,1,2,4,4,59,35,5.87,9.36,"15.77",60.19,31.85,28.34,17.03,4.74,0.64,20.58,15.33,156.69,3,25000
"1204",1203,"yogesh takawale",39,33,3,741,"89",24.7,703,105.41,0,4,5,5,70,20,7.81,10.04,"35.15",53.98,37.79,16.19,12.8,4.44,0.56,22.45,21.3,130.11,3.15,12500
"1208",1207,"romario shepherd",82,52,19,738,"72",22.36,510,144.71,0,1,9,2,37,56,5.48,13.78,"9.11",65.58,20.05,45.53,18.24,5.2,0.61,14.19,9.81,167.07,7.15,62500
"1210",1210,"michael clarke",46,40,5,737,"67",21.06,681,108.22,0,1,9,2,57,12,9.87,11.95,"56.75",40.71,30.94,9.77,10.13,4.35,0.71,18.43,17.03,129.28,3.2,4e+05
"1213",1213,"aaron hardie",46,36,8,735,"90",26.25,538,136.62,0,4,5,2,58,29,6.18,9.28,"18.55",55.24,31.56,23.67,16.17,4.67,0.73,20.42,14.94,162.87,5.31,25000
"1215",1214,"swapnil singh",65,51,16,734,"52*",20.97,590,124.41,0,2,6,4,46,35,7.28,12.83,"16.86",53.68,25.07,28.61,13.73,4.86,0.67,14.39,11.57,145.38,6.41,25000
"1221",1221,"debabrata das",57,44,18,728,"78",28,567,128.4,0,2,5,4,57,33,6.3,9.95,"17.18",58.52,31.32,27.2,15.87,4.73,0.63,16.55,12.89,156.4,5.91,25000
"1222",1221,"abhinav mukund",35,33,6,728,"68",26.96,660,110.3,0,3,8,3,67,7,8.92,9.85,"94.29",42.58,36.81,5.77,11.21,4.19,0.71,22.06,20,137.27,2.09,62500
"1234",1231,"rajagopal sathish",67,53,15,722,"41",19,560,128.93,0,0,4,3,62,23,6.59,9.03,"24.35",53.46,34.35,19.11,15.18,4.54,0.71,13.62,10.57,147.93,6.09,25000
"1236",1235,"abhishek raut",66,46,12,721,"74*",21.21,646,111.61,0,1,8,2,65,16,7.98,9.94,"40.38",49.38,36.06,13.31,12.54,4.4,0.65,15.67,14.04,132.82,5.93,25000
"1238",1238,"avi barot",20,20,1,717,"122",37.74,489,146.63,1,5,2,0,85,21,4.61,5.75,"23.29",64.99,47.42,17.57,21.68,4.4,0.66,35.85,24.45,184.36,1.85,25000
"1244",1243,"andile phehlukwayo",114,74,16,713,"37",12.29,602,118.44,0,0,3,10,60,27,6.92,10.03,"22.3",56.38,33.66,22.72,14.45,4.62,0.6,9.64,8.14,130.73,6.36,62500
"1247",1245,"ashley nurse",109,77,39,712,"40*",18.74,603,118.08,0,0,2,4,43,35,7.73,14.02,"17.23",53.65,24.16,29.49,12.94,4.9,0.63,9.25,7.83,136.81,7.68,62500
"1248",1248,"craig simmons",29,29,1,711,"112",25.39,495,143.64,2,0,7,2,62,41,4.81,7.98,"12.07",69.48,34.88,34.6,20.81,4.8,0.55,24.52,17.07,169.03,2,25000
"1257",1257,"donavon ferreira",37,31,9,703,"82",31.95,472,148.94,0,3,5,0,56,35,5.19,8.43,"13.49",61.74,31.86,29.87,19.28,4.77,0.71,22.68,15.23,180.9,5.39,25000
"1273",1271,"patrick cummins",128,72,31,693,"66",16.9,501,138.32,0,3,4,7,41,41,6.11,12.22,"12.22",59.16,23.67,35.5,16.37,5,0.68,9.63,6.96,155.23,7.92,562500
"1274",1274,"abhimanyu easwaran",26,25,6,692,"107",36.42,569,121.62,1,3,8,4,55,16,8.01,10.35,"35.56",45.66,31.79,13.87,12.48,4.45,0.76,27.68,22.76,158.04,2.72,25000
"1275",1274,"thilan samaraweera",29,28,2,692,"71",26.62,507,136.49,0,6,4,4,87,13,5.07,5.83,"39",61.56,50.29,11.27,19.72,4.26,0.65,24.71,18.11,163.1,2.43,1250
"1276",1274,"nathan coulter-nile",157,87,31,692,"42*",12.36,532,130.08,0,0,4,14,47,42,5.98,11.32,"12.67",63.58,27.17,36.42,16.73,4.94,0.57,7.95,6.11,142.43,7.33,250000
"1278",1277,"jordan thompson",78,60,16,691,"74*",15.7,447,154.59,0,4,2,7,39,47,5.2,11.46,"9.51",63.39,22.58,40.81,19.24,5.09,0.7,11.52,7.45,170.29,6.68,50000
"1283",1283,"praveen kumar",173,85,29,687,"76*",12.27,594,115.66,0,1,2,11,52,31,7.16,11.42,"19.16",57.35,30.28,27.07,13.97,4.75,0.57,8.08,6.99,127.92,7.98,437500
"1291",1291,"suyash prabhudessai",36,32,7,682,"64",27.28,512,133.2,0,2,9,1,57,29,5.95,8.98,"17.66",58.94,33.43,25.51,16.8,4.67,0.66,21.31,16,160.48,5.34,37500
"1292",1291,"dillon du preez",86,62,28,682,"46",20.06,522,130.65,0,0,6,2,31,34,8.03,16.84,"15.35",48.09,18.18,29.91,12.45,5.05,0.77,11,8.42,150.71,7.06,25000
"1295",1294,"anuj rawat",44,37,6,680,"88",21.94,606,112.21,0,3,7,5,51,36,6.97,11.88,"16.83",61.76,30,31.76,14.36,4.83,0.5,18.38,16.38,134.15,3.11,425000
"1299",1299,"karan goel",44,39,5,679,"82",19.97,739,91.88,0,3,3,4,57,18,9.85,12.96,"41.06",49.48,33.58,15.91,10.15,4.48,0.52,17.41,18.95,111.85,2.92,12500
"1301",1301,"jason sangha",29,27,6,676,"91*",32.19,567,119.22,0,5,6,1,52,18,8.1,10.9,"31.5",46.75,30.77,15.98,12.35,4.51,0.72,25.04,21,151.41,3.59,25000
"1318",1318,"hiten dalal",28,28,2,668,"81",25.69,476,140.34,0,3,6,3,67,36,4.62,7.1,"13.22",72.46,40.12,32.34,21.64,4.7,0.49,23.86,17,166.03,1.82,25000
"1330",1328,"jalaj saxena",66,51,11,661,"55",16.53,759,87.09,0,1,6,8,64,5,11,11.86,"151.8",43.27,38.73,4.54,9.09,4.14,0.54,12.96,14.88,103.61,3.45,37500
"1340",1340,"sachin rana",42,38,9,654,"62",22.55,587,111.41,0,2,5,2,54,18,8.15,10.87,"32.61",49.54,33.03,16.51,12.27,4.5,0.64,17.21,15.45,133.97,4.76,25000
"1341",1340,"himmat singh",40,35,9,654,"53",25.15,500,130.8,0,3,3,3,58,28,5.81,8.62,"17.86",61.16,35.47,25.69,17.2,4.65,0.61,18.69,14.29,155.95,4.46,81250
"1345",1344,"yogesh nagar",55,43,9,652,"44",19.18,610,106.89,0,0,4,3,53,16,8.84,11.51,"38.13",47.24,32.52,14.72,11.31,4.46,0.64,15.16,14.19,126.06,5.67,25000
"1350",1348,"ali khan",64,49,16,650,"67",19.7,495,131.31,0,2,4,3,29,34,7.86,17.07,"14.56",49.23,17.85,31.38,12.73,5.08,0.76,13.27,10.1,151.01,5.53,50000
"1353",1353,"zubayr hamza",28,26,5,649,"106",30.9,564,115.07,1,4,2,3,71,13,6.71,7.94,"43.38",55.78,43.76,12.02,14.89,4.31,0.6,24.96,21.69,145.98,2.69,62500
"1354",1353,"samarth vyas",28,25,3,649,"97",29.5,431,150.58,0,4,4,2,55,38,4.63,7.84,"11.34",69.03,33.9,35.13,21.58,4.82,0.59,25.96,17.24,180.08,3.72,25000
"1355",1353,"tanmay srivastava",34,28,5,649,"84",28.22,558,116.31,0,4,5,0,63,15,7.15,8.86,"37.2",52.7,38.83,13.87,13.98,4.38,0.64,23.18,19.93,144.53,3.25,12500
"1359",1358,"dhruv shorey",36,32,6,647,"70",24.88,593,109.11,0,4,5,4,53,20,8.12,11.19,"29.65",51.31,32.77,18.55,12.31,4.55,0.61,20.22,18.53,133.99,3.13,25000
"1367",1366,"krishnappa gowtham",80,58,15,642,"60",14.93,403,159.31,0,2,3,4,52,35,4.63,7.75,"11.51",65.11,32.4,32.71,21.59,4.8,0.71,11.07,6.95,174.24,6.64,1156250
"1378",1377,"ashish reddy",77,62,15,637,"37",13.55,502,126.89,0,0,3,6,35,29,7.84,14.34,"17.31",49.29,21.98,27.32,12.75,4.91,0.74,10.27,8.1,140.45,6.21,25000
"1385",1384,"sean abbott",131,76,18,633,"41*",10.91,565,112.04,0,0,5,7,37,25,9.11,15.27,"22.6",47.08,23.38,23.7,10.97,4.81,0.67,8.33,7.43,122.95,7.37,3e+05
"1387",1387,"harshad khadiwale",26,26,0,630,"88",24.23,508,124.02,0,3,6,1,69,12,6.27,7.36,"42.33",55.24,43.81,11.43,15.94,4.3,0.66,24.23,19.54,148.25,1.12,12500
"1395",1394,"keshav maharaj",142,63,30,627,"45",19,531,118.08,0,0,5,8,56,21,6.9,9.48,"25.29",55.82,35.73,20.1,14.5,4.55,0.61,9.95,8.43,137.08,7.79,62500
"1403",1402,"ravi jangid",51,47,7,625,"63",15.63,526,118.82,0,1,3,4,60,13,7.21,8.77,"40.46",50.88,38.4,12.48,13.88,4.36,0.68,13.3,11.19,134.45,5.11,12500
"1418",1418,"odean smith",81,57,21,617,"43",17.14,451,136.81,0,0,3,8,36,49,5.31,12.53,"9.2",70.99,23.34,47.65,18.85,5.15,0.49,10.82,7.91,153.95,7.39,62500
"1419",1419,"wasim jaffer",23,23,1,616,"95",28,477,129.14,0,6,3,1,75,11,5.55,6.36,"43.36",59.42,48.7,10.71,18.03,4.26,0.64,26.78,20.74,157.14,2,37500
"1441",1441,"shivam chaudhary",21,21,2,603,"84",31.74,507,118.93,0,5,3,1,59,15,6.85,8.59,"33.8",54.06,39.14,14.93,14.6,4.41,0.64,28.71,24.14,150.67,2.62,25000
"1447",1446,"priyam garg",44,37,3,601,"59",17.68,521,115.36,0,3,4,3,45,18,8.27,11.58,"28.94",47.92,29.95,17.97,12.09,4.57,0.68,16.24,14.08,133.03,4.08,25000
"1449",1449,"sunny singh",33,32,6,599,"74",23.04,502,119.32,0,4,4,2,66,12,6.44,7.61,"41.83",56.09,44.07,12.02,15.54,4.31,0.62,18.72,15.69,142.36,3.13,37500
"1460",1460,"solomon mire",29,26,1,594,"109",23.76,412,144.17,1,3,3,3,45,40,4.85,9.16,"10.3",70.71,30.3,40.4,20.63,4.94,0.53,22.85,15.85,167.93,3.42,62500
"1461",1460,"gurinder singh",59,39,16,594,"56",25.83,489,121.47,0,1,6,1,35,26,8.02,13.97,"18.81",49.83,23.57,26.26,12.47,4.85,0.7,15.23,12.54,147.3,6.82,25000
"1480",1479,"andrew tye",214,84,35,587,"44",11.98,477,123.06,0,0,3,12,37,31,7.01,12.89,"15.39",56.9,25.21,31.69,14.26,4.91,0.62,6.99,5.68,135.04,8.55,125000
"1486",1486,"nikhil gangta",42,32,4,585,"54",20.89,462,126.62,0,4,3,2,58,15,6.33,7.97,"30.8",55.04,39.66,15.38,15.8,4.41,0.68,18.28,14.44,147.52,5.25,25000
"1489",1489,"michael neser",105,65,22,582,"48",13.53,491,118.53,0,0,6,6,46,17,7.79,10.67,"28.88",49.14,31.62,17.53,12.83,4.54,0.69,8.95,7.55,132.07,7.32,50000
"1502",1501,"sunny sohal",37,31,0,573,"62",18.48,503,113.92,0,2,5,3,55,24,6.37,9.15,"20.96",63.53,38.39,25.13,15.71,4.61,0.49,18.48,16.23,132.4,2.1,25000
"1522",1521,"jamie overton",82,47,14,567,"48*",17.18,325,174.46,0,0,5,3,39,38,4.22,8.33,"8.55",67.72,27.51,40.21,23.69,4.99,0.74,12.06,6.91,191.64,7.21,250000
"1527",1527,"urvil patel",29,29,1,563,"84",20.11,386,145.85,0,3,3,3,77,13,4.29,5.01,"29.69",68.56,54.71,13.85,23.32,4.29,0.6,19.41,13.31,165.96,2.1,25000
"1531",1528,"kieran powell",33,32,1,562,"47",18.13,528,106.44,0,0,6,4,58,14,7.33,9.1,"37.71",56.23,41.28,14.95,13.64,4.39,0.54,17.56,16.5,124.57,2.09,62500
"1537",1537,"shivam bhambri",19,19,1,557,"106",30.94,426,130.75,1,3,2,0,51,26,5.53,8.35,"16.38",64.63,36.62,28.01,18.08,4.68,0.56,29.32,22.42,161.7,2.68,25000
"1543",1540,"jofra archer",132,65,30,556,"36",15.89,381,145.93,0,0,1,5,41,24,5.86,9.29,"15.88",55.4,29.5,25.9,17.06,4.74,0.78,8.55,5.86,161.82,7.8,1e+06
"1549",1547,"qais ahmad",129,65,18,553,"50",11.77,440,125.68,0,1,1,4,42,31,6.03,10.48,"14.19",64.01,30.38,33.63,16.59,4.85,0.54,8.51,6.77,137.45,8.42,62500
"1550",1550,"vijay zol",25,23,1,551,"109",25.05,475,116,1,3,2,2,63,12,6.33,7.54,"39.58",58.8,45.74,13.07,15.79,4.32,0.57,23.96,20.65,141.05,2.52,37500
"1551",1550,"hamza tariq",46,40,15,551,"63*",22.04,381,144.62,0,4,3,7,39,28,5.69,9.77,"13.61",58.8,28.31,30.49,17.59,4.84,0.72,13.78,9.53,166.66,6.1,25000
"1552",1550,"jaydev shah",36,35,1,551,"49",16.21,512,107.62,0,0,7,5,53,20,7.01,9.66,"25.6",60.25,38.48,21.78,14.26,4.55,0.5,15.74,14.63,123.82,3.26,25000
"1553",1553,"chirag jani",50,35,10,550,"42",22,424,129.72,0,0,7,3,38,22,7.07,11.16,"19.27",51.64,27.64,24,14.15,4.73,0.73,15.71,12.11,151.72,6.4,25000
"1556",1554,"ian butler",85,56,26,549,"46",18.3,395,138.99,0,0,3,3,23,40,6.27,17.17,"9.88",60.47,16.76,43.72,15.95,5.27,0.65,9.8,7.05,157.29,7.3,37500
"1570",1570,"karan sharma",18,18,4,544,"79",38.86,433,125.64,0,6,3,1,48,20,6.37,9.02,"21.65",57.35,35.29,22.06,15.7,4.59,0.64,30.22,24.06,164.49,2.17,25000
"1571",1570,"darshan misal",61,47,10,544,"67",14.7,564,96.45,0,1,2,2,39,14,10.64,14.46,"40.29",44.12,28.68,15.44,9.4,4.53,0.59,11.57,12,111.16,6.47,12500
"1572",1570,"rahul dewan",32,32,2,544,"47",18.13,585,92.99,0,0,10,5,67,3,8.36,8.73,"195",52.57,49.26,3.31,11.97,4.09,0.5,17,18.28,111.12,1.56,12500
"1589",1586,"sumit kumar",38,31,13,537,"63",29.83,397,135.26,0,1,5,4,43,27,5.67,9.23,"14.7",62.2,32.03,30.17,17.63,4.77,0.62,17.32,12.81,165.1,6.42,25000
"1597",1596,"shoaib khan",22,22,0,533,"85",24.23,436,122.25,0,5,3,3,78,4,5.32,5.59,"109",63.04,58.54,4.5,18.81,4.1,0.56,24.23,19.82,146.48,1.73,25000
"1599",1598,"shashank singh",47,36,8,532,"61",19,374,142.25,0,3,1,1,39,29,5.5,9.59,"12.9",62.03,29.32,32.71,18.18,4.85,0.66,14.78,10.39,161.25,4.89,25000
"1601",1601,"rohan kunnummal",19,19,3,531,"58*",33.19,445,119.33,0,4,4,0,65,10,5.93,6.85,"44.5",60.26,48.96,11.3,16.85,4.27,0.57,27.95,23.42,152.51,1.79,25000
"1605",1602,"udit birla",29,24,2,530,"56",24.09,491,107.94,0,1,6,1,45,16,8.05,10.91,"30.69",52.08,33.96,18.11,12.42,4.52,0.59,22.08,20.46,132.03,4.46,25000
"1624",1622,"azim kazi",39,29,12,524,"71",30.82,432,121.3,0,1,6,1,38,23,7.08,11.37,"18.78",55.34,29.01,26.34,14.12,4.75,0.63,18.07,14.9,152.12,5.21,25000
"1646",1645,"jaydev unadkat",173,68,36,514,"58",16.06,386,133.16,0,1,3,4,36,25,6.33,10.72,"15.44",57.2,28.02,29.18,15.8,4.82,0.68,7.56,5.68,149.22,8.56,62500
"1653",1651,"oshada fernando",34,29,4,510,"78",20.4,449,113.59,0,2,4,3,45,13,7.74,9.98,"34.54",50.59,35.29,15.29,12.92,4.45,0.64,17.59,15.48,133.99,3.93,62500
"1660",1660,"sudip chatterjee",29,26,3,506,"89",22,448,112.95,0,3,3,2,54,5,7.59,8.3,"89.6",48.62,42.69,5.93,13.17,4.17,0.67,19.46,17.23,134.95,3.19,25000
"1667",1665,"dhananjaya lakshan",48,41,5,505,"63*",14.03,421,119.95,0,2,3,5,37,19,7.52,11.38,"22.16",51.88,29.31,22.57,13.3,4.68,0.67,12.32,10.27,133.98,5.22,62500
"1668",1668,"amit paunikar",32,30,4,504,"78",19.38,443,113.77,0,1,5,4,62,11,6.07,7.15,"40.27",62.3,49.21,13.1,16.48,4.3,0.51,16.8,14.77,133.15,2.67,25000
"1669",1668,"arjit gupta",37,34,5,504,"72",17.38,389,129.56,0,2,4,3,31,37,5.72,12.55,"10.51",68.65,24.6,44.05,17.48,5.09,0.49,14.82,11.44,146.94,4.74,25000
"1684",1678,"anustup majumdar",33,27,3,499,"48",20.79,489,102.05,0,0,8,0,60,3,7.76,8.15,"163",51.7,48.1,3.61,12.88,4.1,0.57,18.48,18.11,122.84,3.3,25000
"1691",1689,"mohammad saifuddin",103,56,21,497,"40",14.2,440,112.95,0,0,3,9,38,18,7.86,11.58,"24.44",52.31,30.58,21.73,12.73,4.64,0.62,8.88,7.86,127.15,7.8,62500
"1700",1699,"paresh patel",32,32,1,495,"51",15.97,525,94.29,0,1,4,0,53,8,8.61,9.91,"65.63",52.53,42.83,9.7,11.62,4.26,0.51,15.47,16.41,110.25,2.34,12500
"1702",1702,"ankit kaushik",31,24,9,494,"74*",32.93,396,124.75,0,3,4,1,23,30,7.47,17.22,"13.2",55.06,18.62,36.44,13.38,5.13,0.65,20.58,16.5,157.68,4.63,25000
"1720",1719,"akshay karnewar",57,42,9,487,"42",14.76,371,131.27,0,0,4,4,39,22,6.08,9.51,"16.86",59.14,32.03,27.1,16.44,4.72,0.64,11.6,8.83,146.02,6.12,12500
"1742",1741,"ben dwarshuis",110,57,28,476,"66",16.41,369,129,0,1,2,6,34,17,7.24,10.85,"21.71",50,28.57,21.43,13.82,4.67,0.75,8.35,6.47,145.41,8.32,175000
"1744",1741,"robin bist",38,33,3,476,"46",15.87,508,93.7,0,0,6,2,41,2,11.81,12.39,"254",36.97,34.45,2.52,8.46,4.09,0.65,14.42,15.39,109.57,4.42,25000
"1751",1750,"sanjay yadav",29,25,6,474,"55*",24.95,398,119.1,0,1,5,4,25,25,7.96,15.92,"15.92",52.74,21.1,31.65,12.56,5,0.64,18.96,15.92,144.04,5,62500
"1757",1754,"abhishek jhunjhunwala",38,32,6,472,"54",18.15,454,103.96,0,2,4,1,37,8,10.09,12.27,"56.75",41.53,31.36,10.17,9.91,4.36,0.67,14.75,14.19,122.12,4.97,25000
"1758",1754,"george garton",66,39,13,472,"46*",18.15,342,138.01,0,0,5,2,41,21,5.52,8.34,"16.29",61.44,34.75,26.69,18.13,4.68,0.65,12.1,8.77,156.17,7.15,62500
